"","Team","Year","Pass.Attempts","Pass.Completion.Rate","Avg.Passing.Yards","Rush Attempts","Avg Rushing Yards"
"319","Chicago Bears",2007,NA,NA,NA,54.3333333333333,166.333333333333
"320","Chicago Bears",2008,233,29.25,1486,61.6666666666667,243.666666666667
"321","Chicago Bears",2009,187.666666666667,67.8,1225.66666666667,70.2,274.4
"322","Chicago Bears",2010,219.5,65.9,1664.5,68,266.5
"323","Chicago Bears",2011,118,42.9,836.5,50.6666666666667,223.888888888889
"324","Chicago Bears",2012,242.5,60.75,1649,50.8571428571429,222.714285714286
"325","Chicago Bears",2013,289.5,64.8,2225,85.25,407.75
"326","Chicago Bears",2014,561,66,3812,69.6,281.6
"327","Chicago Bears",2015,483,64.4,3659,57.875,230.75
"328","Chicago Bears",2016,111.8,65.16,827.8,31.3333333333333,143.583333333333
"329","Chicago Cardinals",1926,NA,NA,NA,0,0
"330","Chicago Cardinals",1927,NA,NA,NA,0,0
"331","Chicago Cardinals",1932,NA,NA,NA,21.2,65.4
"332","Chicago Cardinals",1933,NA,NA,NA,33.125,93.5
"333","Chicago Cardinals",1934,NA,NA,NA,1,0
"334","Chicago Cardinals",1935,NA,NA,NA,49.8,139.2
"335","Chicago Cardinals",1936,36.25,19.575,236,33.7777777777778,72.6666666666667
"336","Chicago Cardinals",1937,NA,NA,NA,24.1666666666667,71.5
"337","Chicago Cardinals",1938,NA,NA,NA,30.875,98.75
"338","Chicago Cardinals",1939,NA,NA,NA,22.9166666666667,62.5
"339","Chicago Cardinals",1940,NA,NA,NA,26.3,89
"340","Chicago Cardinals",1941,NA,NA,NA,29.4444444444444,92.2222222222222
"341","Chicago Cardinals",1942,150.5,29.7,688,43.4285714285714,120.285714285714
"342","Chicago Cardinals",1943,52.6666666666667,44.5666666666667,293.666666666667,22.6666666666667,21.3333333333333
"343","Chicago Cardinals",1945,41.6666666666667,16.2166666666667,214.166666666667,25.7,67.3
"344","Chicago Cardinals",1946,66.25,21.225,479,37.25,152.625
"345","Chicago Cardinals",1947,168.5,52.05,1265.5,41.5,139.375
"346","Chicago Cardinals",1948,69.25,31.825,504,38.8,176.9
"347","Chicago Cardinals",1949,76,22.925,440.75,36.6666666666667,164.444444444444
"348","Chicago Cardinals",1950,257,45.5,1636,35.375,142.875
"349","Chicago Cardinals",1951,114,49.1,809,35.8571428571429,138.142857142857
"350","Chicago Cardinals",1952,96,36.5,582,30.625,88.25
"351","Chicago Cardinals",1953,NA,NA,NA,26,100
"352","Chicago Cardinals",1954,NA,NA,NA,68.8,244.6
"353","Chicago Cardinals",1955,NA,NA,NA,61.3333333333333,237.166666666667
"354","Chicago Cardinals",1956,NA,NA,NA,109.25,460.25
"355","Chicago Cardinals",1957,NA,NA,NA,42.375,169.5
"356","Chicago Cardinals",1958,49.75,25.95,356.5,37,146.25
"357","Chicago Cardinals",1959,48,43.65,334.5,18.1666666666667,72.3333333333333
"358","Cincinnati Bengals",1968,40.5,29.4,253,10.625,51.5
"359","Cincinnati Bengals",1969,NA,NA,NA,35.5,164
"360","Cincinnati Bengals",1970,141,63.2,843,45.3333333333333,202.833333333333
"361","Cincinnati Bengals",1971,121,49.0666666666667,806.333333333333,31.7142857142857,161
"362","Cincinnati Bengals",1972,191.5,57.05,1248.5,59,239.6
"363","Cincinnati Bengals",1973,329,54.4,2428,61.5,302.25
"364","Cincinnati Bengals",1974,164.5,82.45,1342,50.5,269.5
"365","Cincinnati Bengals",1975,214,54.75,1733,46,171.5
"366","Cincinnati Bengals",1976,180,44.7,1221.5,45.3333333333333,196
"367","Cincinnati Bengals",1977,191,46.05,1264,46.1666666666667,180.5
"368","Cincinnati Bengals",1978,231.5,52.8,1504.5,33.5,140.75
"369","Cincinnati Bengals",1979,213,50.3,1410.5,64.3333333333333,258.5
"370","Cincinnati Bengals",1980,254.5,54.75,1551,65.1666666666667,276.833333333333
"371","Cincinnati Bengals",1981,182.333333333333,52.7,1395.66666666667,63.4285714285714,259.428571428571
"372","Cincinnati Bengals",1982,155,85.3,1250.5,36.1428571428571,129.428571428571
"373","Cincinnati Bengals",1983,226.5,62.85,1746,53.6666666666667,203.666666666667
"374","Cincinnati Bengals",1984,164.666666666667,60.1,1194,41.9,170.2
"375","Cincinnati Bengals",1985,171.333333333333,57.6333333333333,1357.66666666667,47.8333333333333,180
"376","Cincinnati Bengals",1986,165,68.6666666666667,1386.66666666667,48,180.75
"377","Cincinnati Bengals",1987,230.5,51.05,1717,60.2,250.8
